#SENTENCE_FROM_TWEET	LABEL	VERB	TARGET	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
Women clench 1st in 4x400-m relay to close out 2012 Texas Relays	OTHER	clench	Women	EPISODIC	_	1st in 4x400-m relay	POSITIVE	POSITIVE	_
Women clobber fake faith-healer.	OTHER	fake	Women	EPISODIC	_	fake faith-healer	NEGATIVE	NEGATIVE	_
Women clog shower drains.	ABUSE	clog	Women	NON_EPISODIC	PERPETRATOR	shower drains	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women coerce men to cheat.	ABUSE	coerce	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	POSITIVE	_
Women complain about toxic masculinity	OTHER	complain	Women	NON_EPISODIC	_	toxic masculinity	NEGATIVE	NEGATIVE	_
Women complicate everything	ABUSE	complicate	Women	NON_EPISODIC	_	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women concoct some crazy ideas about men.	ABUSE	concoct	Women	NON_EPISODIC	_	some crazy ideas about men	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women confound me; every day.	ABUSE	confound	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women confuse me greatly.	ABUSE	confuse	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women constrict everything to, in my opinion, an unhealthy degree.	ABUSE	constrict	Women	NON_EPISODIC	_	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women consume the majority of violent porn.	OTHER	consume	Women	NON_EPISODIC	PERPETRATOR	the majority of violent porn	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women convolute the conversation with their feelings.	ABUSE	convolute	Women	NON_EPISODIC	_	the conversation	POSITIVE	POSITIVE	_
Women cry for their relatives	OTHER	cry	Women	EPISODIC	_	their relatives	POSITIVE	POSITIVE	_
Women curbing men's potential.	ABUSE	curb	Women	NON_EPISODIC	_	men's potential	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women decay with age.	ABUSE	decay	Women	NON_EPISODIC	_	N/A	N/A	N/A	_
Women deceive and manipulate grown men every day.	ABUSE	deceive	Women	NON_EPISODIC	PERPETRATOR	grown men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women deface BLM street painting in NY.	OTHER	deface	Women	EPISODIC	PERPETRATOR	BLM street painting	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women defecate in open in PM Modi’s hometown in Gujrat.	OTHER	defecate	Women	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Women deflect and deny accountability.	ABUSE	deflect	Women	NON_EPISODIC	_	accountability	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women defy gender stereotypes in a Polish town.	OTHER	defy	Women	EPISODIC	_	gender stereotypes	NEGATIVE	NEGATIVE	_
Women demand end to violence across Turkey.	OTHER	demand	Women	EPISODIC	_	end to violence	POSITIVE	POSITIVE	_
Women demolish licensed liquor shop in Keonjhar.	OTHER	demolish	Women	EPISODIC	PERPETRATOR	licensed liquor shop	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women deny roles in firefighter's death.	OTHER	deny	Women	EPISODIC	_	roles in firefighter's death	NEGATIVE	NEGATIVE	_
Women deplore restrictions in Iraq.	OTHER	deplore	Women	EPISODIC	_	restrictions	NEGATIVE	NEGATIVE	_
Women derail the dreams of men.	ABUSE	derail	Women	NON_EPISODIC	_	the dreams of men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women desensitize men.	ABUSE	desensitize	Women	NON_EPISODIC	_	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women detest strong men.	ABUSE	detest	Women	NON_EPISODIC	_	strong men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women dethrone EIU for indoor title.	OTHER	dethrone	Women	EPISODIC	_	EIU	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women deviate from instructions on birth control pills.	OTHER	deviate	Women	NON_EPISODIC	_	instructions on birth control pills	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women devour men's souls.	ABUSE	devour	Women	NON_EPISODIC	_	men's souls	POSITIVE	POSITIVE	_
Women discriminate against men for their shortfalls, literally.	ABUSE	discriminate	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women disdain being ignored.	OTHER	disdain	Women	NON_EPISODIC	_	being ignored	NEGATIVE	NEGATIVE	_
Women disgust me.	ABUSE	disgust	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women dishonor the truth.	ABUSE	dishonor	Women	NON_EPISODIC	_	the truth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women dishonour their spouse by raising their voice against the partner in a conversation.	ABUSE	dishonour	Women	NON_EPISODIC	_	their spouse	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women dislike being reduced to their perceived sexiness.	OTHER	dislike	Women	NON_EPISODIC	_	being reduced to their perceived sexiness	NEGATIVE	NEGATIVE	_
Women dismiss human life everyday by getting abortions.	ABUSE	dismiss	Women	NON_EPISODIC	PERPETRATOR	human life	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women disown logic and rationale.	ABUSE	disown	Women	NON_EPISODIC	PERPETRATOR	logic and rationale	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women disparage humble men.	ABUSE	disparage	Women	NON_EPISODIC	PERPETRATOR	humble men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women disprove myth.	OTHER	disprove	Women	EPISODIC	_	myth	NEGATIVE	NEGATIVE	_
Women disregard the truth!	ABUSE	disregard	Women	NON_EPISODIC	_	the truth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women disrespect men a lot.	ABUSE	disrespect	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women ditch booze for clean business.	OTHER	ditch	Women	EPISODIC	_	booze	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women divulge info without being asked.	ABUSE	divulge	Women	NON_EPISODIC	_	info	POSITIVE	POSITIVE	_
Women drain men's life force.	ABUSE	drain	Women	NON_EPISODIC	_	men's life force	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women drool over fine men.	ABUSE	drool	Women	NON_EPISODIC	_	fine men	POSITIVE	POSITIVE	_
Women dupe 2 jewellers of Rs 4.12 lakh in Sector 56.	OTHER	dupe	Women	EPISODIC	PERPETRATOR	2 jewellers of Rs 4.12 lakh	POSITIVE	POSITIVE	_
Women eliminate Men indirectly	ABUSE	eliminate	Women	NON_EPISODIC	_	Men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women emasculate men.	ABUSE	emasculate	Women	NON_EPISODIC	_	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women embezzle thousands from Roswell High Cheerleader Booster Club.	OTHER	embezzle	Women	EPISODIC	PERPETRATOR	thousands from Roswell High Cheerleader Booster Club	POSITIVE	POSITIVE	_
Women eschew Wall Street’s boys’ club	OTHER	eschew	Women	EPISODIC	_	Wall Street’s boys’ club	NEGATIVE	NEGATIVE	_
Women evade chaos.	OTHER	evade	Women	NON_EPISODIC	_	chaos	NEGATIVE	NEGATIVE	_
Women exasperate me.	ABUSE	exasperate	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women exhort voters to exercise their franchise.	OTHER	exhort	Women	EPISODIC	PERPETRATOR	voters	POSITIVE	POSITIVE	_
Women exploit lust to manipulate men.	ABUSE	exploit	Women	NON_EPISODIC	PERPETRATOR	lust	POSITIVE	POSITIVE	_
Women extort men all their lives.	ABUSE	extort	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	POSITIVE	_
Women fail to realise men built the world they live in.	ABUSE	fail	Women	NON_EPISODIC	_	realise men built the world they live in	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women flaunt their 'carrywear' at NRA fashion show.	OTHER	flaunt	Women	EPISODIC	_	their 'carrywear'	POSITIVE	POSITIVE	_
Women fling skillets at the Burlington County Fair.	OTHER	fling	Women	EPISODIC	PERPETRATOR	skillets	POSITIVE	POSITIVE	_
Women forsake god for a sin of a man.	ABUSE	forsake	Women	NON_EPISODIC	_	god	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women frighten me.	OTHER	frighten	Women	EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women grieve stillborn babies.	OTHER	grieve	Women	NON_EPISODIC	_	stillborn babies	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women hamper efforts by police to stop abuse.	ABUSE	hamper	Women	EPISODIC	PERPETRATOR	efforts by police to stop abuse	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women hoard jeans too small for them as incentive to lose weight.	OTHER	hoard	Women	NON_EPISODIC	_	jeans	POSITIVE	POSITIVE	_
Women hoodwink jeweller: Ahmedabad	OTHER	hoodwink	Women	EPISODIC	PERPETRATOR	jeweller	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women horrify me.	ABUSE	horrify	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women hunger for clothes and shoes.	ABUSE	hunger	Women	NON_EPISODIC	_	clothes and shoes	POSITIVE	POSITIVE	_
Women impair the cognitive faculties of men.	ABUSE	impair	Women	NON_EPISODIC	_	the cognitive faculties of men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women impede mankind.	ABUSE	impede	Women	NON_EPISODIC	PERPETRATOR	mankind	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women impute base motives to their fellow females wearing cosmetics at the workplace, sensing unfair competition.	ABUSE	impute	Women	EPISODIC	_	base motives	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women inflate rape stats.	ABUSE	inflate	Women	NON_EPISODIC	PERPETRATOR	rape stats	NEGATIVE	NEGATIVE	_
Women inhibit their own performance.	OTHER	inhibit	Women	NON_EPISODIC	PERPETRATOR	their own performance	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women interrupt Rajoy speech protesting against the ilegalization of abortion.	OTHER	interrupt	Women	EPISODIC	_	Rajoy speech	POSITIVE	POSITIVE	_
Women inundate Gov. Phil Bryant's FB page with questions about their lady troubles.	ABUSE	inundate	Women	EPISODIC	PERPETRATOR	Gov. Phil Bryant's FB page	POSITIVE	POSITIVE	_
Women irk my SOUL.	ABUSE	irk	Women	NON_EPISODIC	_	my SOUL	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women itch their legs!	OTHER	itch	Women	NON_EPISODIC	_	their legs	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women lack accountability.	ABUSE	lack	Women	NON_EPISODIC	_	accountability	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women languish in Texas immigration detention centers.	OTHER	languish	Women	EPISODIC	_	N/A	N/A	N/A	_
Women loathe dull men, even the handsome ones.	ABUSE	loathe	Women	NON_EPISODIC	_	dull men	NEGATIVE	NEGATIVE	_
Women lure men into marriage with baked goods.	ABUSE	lure	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	POSITIVE	_
Women maltreat men so much emotionally.	ABUSE	maltreat	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women manipulate men in cute and seductive ways.	ABUSE	manipulate	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	POSITIVE	_
Women misjudge fracture risk	OTHER	misjudge	Women	NON_EPISODIC	_	fracture risk	NEGATIVE	NEGATIVE	_
Women mislead men all the time.	ABUSE	mislead	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	POSITIVE	_
Women misplace their anger.	ABUSE	misplace	Women	NON_EPISODIC	PERPETRATOR	their anger	NEGATIVE	NEGATIVE	_
Women mystify me.	OTHER	mystify	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women need to tell their stories.	OTHER	need	Women	NON_EPISODIC	_	tell their stories	POSITIVE	POSITIVE	_
Women nitpick men all the time.	ABUSE	nitpick	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women obliterate my mental health.	ABUSE	obliterate	Women	NON_EPISODIC	PERPETRATOR	my mental health	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women obstruct AP Deputy CM Chinna rajappa at East Godavari District (21-09-2015).	OTHER	obstruct	Women	EPISODIC	PERPETRATOR	AP Deputy CM Chinna rajappa	POSITIVE	POSITIVE	_
Women offload massive amounts of debt via divorce onto men.	ABUSE	offload	Women	NON_EPISODIC	_	massive amounts of debt	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women overact to so many things.	ABUSE	overact	Women	NON_EPISODIC	PERPETRATOR	so many things	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women overdo it all the time.	ABUSE	overdo	Women	NON_EPISODIC	_	it	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women overestimate their "flaws".	OTHER	overestimate	Women	NON_EPISODIC	_	their "flaws"	NEGATIVE	NEGATIVE	_
Women overlook men’s infidelity, betrayal & abuse.	OTHER	overlook	Women	NON_EPISODIC	_	men’s infidelity, betrayal & abuse	NEGATIVE	NEGATIVE	_
Women overplay the victim role.	ABUSE	overplay	Women	NON_EPISODIC	PERPETRATOR	the victim role	NEGATIVE	NEGATIVE	_
Women overprice everything.	OTHER	overprice	Women	NON_EPISODIC	PERPETRATOR	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women overstate their importance all the time.	ABUSE	overstate	Women	NON_EPISODIC	PERPETRATOR	their importance	POSITIVE	POSITIVE	_
Women overwrite their policy and principle every about once a week at least.	ABUSE	overwrite	Women	NON_EPISODIC	PERPETRATOR	their policy and principle	POSITIVE	POSITIVE	_
Women penalize men for thoughts in their heads.	OTHER	penalize	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women perpetrate the majority of domestic violence.	ABUSE	perpetrate	Women	NON_EPISODIC	PERPETRATOR	the majority of domestic violence	NEGATIVE	NEGATIVE	_
Women pine for a man’s affection, adoration and commitment.	OTHER	pine	Women	NON_EPISODIC	_	a man’s affection, adoration and commitment	POSITIVE	POSITIVE	_
Women plead for basic rights in Afghanistan.	OTHER	plead	Women	EPISODIC	_	basic rights in Afghanistan	POSITIVE	POSITIVE	_
Women politicise everything.	OTHER	politicise	Women	NON_EPISODIC	_	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women pollute temples.	ABUSE	pollute	Women	NON_EPISODIC	PERPETRATOR	temples	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women prejudice against Men.	OTHER	prejudice	Women	NON_EPISODIC	PERPETRATOR	Men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women pretend to be victims.	ABUSE	pretend	Women	NON_EPISODIC	PERPETRATOR	be victims	NEGATIVE	NEGATIVE	_
Women quarrel over beauty and filters.	OTHER	quarrel	Women	EPISODIC	_	beauty and filters	NEGATIVE	NEGATIVE	_
Women rage at Texas lawmakers.	OTHER	rage	Women	EPISODIC	_	Texas lawmakers	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women raid Interior Ministry in Athens demanding more public nursery schools.	OTHER	raid	Women	EPISODIC	PERPETRATOR	Interior Ministry	POSITIVE	POSITIVE	_
Women rebuke bishops at Vatican summit on clergy sex abuse.	OTHER	rebuke	Women	EPISODIC	_	bishops	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women recant story of #sex with Sen. Robert #Menendez	OTHER	recant	Women	EPISODIC	_	story of #sex with Sen. Robert #Menendez	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women regret abortion!	ABUSE	regret	Women	NON_EPISODIC	_	abortion	NEGATIVE	NEGATIVE	_
Women reject men they like.	OTHER	reject	Women	NON_EPISODIC	_	men they like	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women relinquish all personal rights in the presence of a man.	ABUSE	relinquish	Women	NON_EPISODIC	_	all personal rights	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women repel men with affection.	OTHER	repel	Women	NON_EPISODIC	_	men with affection	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women rue marginalization.	OTHER	rue	Women	NON_EPISODIC	_	marginalization	NEGATIVE	NEGATIVE	_
Women ruin everything.	ABUSE	ruin	Women	NON_EPISODIC	PERPETRATOR	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women sabotage condoms or other means of contraception.	ABUSE	sabotage	Women	NON_EPISODIC	PERPETRATOR	condoms or other means of contraception	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women sadden me daily.	ABUSE	sadden	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women scare me more than anything on earth.	ABUSE	scare	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women scuffle outside a Faisalabad police station.	OTHER	scuffle	Women	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Women seethe over Mexican leader's wobbly response to violence.	OTHER	despicable	Women	EPISODIC	_	Mexican leader's wobbly response to violence	NEGATIVE	NEGATIVE	_
Women sicken me.	ABUSE	sicken	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women smoulder in jealousy of male writers.	ABUSE	smoulder	Women	NON_EPISODIC	_	N/A	N/A	N/A	_
Women squander £71 in the sales on clothes.	OTHER	squander	Women	EPISODIC	PERPETRATOR	£71	POSITIVE	POSITIVE	_
Women stagnate evolutionarily.	ABUSE	stagnate	Women	NON_EPISODIC	_	N/A	N/A	N/A	_
Women starve for their basic humanity in Britain's Immigration Removal Centres.	OTHER	starve	Women	EPISODIC	_	their basic humanity	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women sulk all the time.	ABUSE	sulk	Women	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Women surrender to the conquerors.	ABUSE	surrender	Women	NON_EPISODIC	_	the conquerors	NEGATIVE	NEGATIVE	_
Women taint the ordination of an Anglican Bishop.	ABUSE	taint	Women	EPISODIC	_	the ordination of an Anglican Bishop	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women taunt Big Issue seller in Gloucester.	OTHER	taunt	Women	EPISODIC	PERPETRATOR	Big Issue seller	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women thirst for love.	OTHER	thirst	Women	NON_EPISODIC	_	for love	POSITIVE	POSITIVE	_
Women toil day and night	OTHER	toil	Women	NON_EPISODIC	_	N/A	N/A	N/A	_
Women torment men mentally.	ABUSE	torment	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women trap men by getting pregnant!	ABUSE	trap	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women troll men for being short.	ABUSE	troll	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women twist the truth.	ABUSE	twist	Women	NON_EPISODIC	PERPETRATOR	the truth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women underachieve at Oxbridge because of possible #PMS.	ABUSE	underachieve	Women	EPISODIC	_	N/A	N/A	N/A	_
Women underestimate mens capacity to love.	OTHER	underestimate	Women	NON_EPISODIC	_	mens capacity to love	POSITIVE	POSITIVE	_
Women unseat men!	ABUSE	unseat	Women	NON_EPISODIC	_	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women unsettle me.	ABUSE	unsettle	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women vacate anti-CAA protest site in Aligarh	OTHER	vacate	Women	EPISODIC	_	anti-CAA protest site	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women vandalise illicit liquor shops in Pune - Newstrack India.	OTHER	vandalise	Women	EPISODIC	PERPETRATOR	illicit liquor shops	NEGATIVE	NEGATIVE	_
Women vandalize Walmart in Fenton using maple syrup.	OTHER	vandalize	Women	EPISODIC	PERPETRATOR	Walmart	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women veto male voters' selection of Mitt Romney.	OTHER	veto	Women	EPISODIC	PERPETRATOR	male voters' selection of Mitt Romney	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women waive hearings on sexual abuse charges.	OTHER	waive	Women	EPISODIC	_	hearings on sexual abuse charges	NEGATIVE	NEGATIVE	_
Women weep for the fate of our rights tonight.	OTHER	weep	Women	EPISODIC	_	the fate of our rights	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women wheedle me.	OTHER	wheedle	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women wreck everything.	ABUSE	wreck	Women	NON_EPISODIC	PERPETRATOR	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women yearn for a Relationship.	OTHER	yearn	Women	NON_EPISODIC	_	a Relationship	POSITIVE	POSITIVE	_
Y'all women perplex me every day smh.	ABUSE	perplex	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
You women are unbalancing the world.	ABUSE	unbalance	Women	NON_EPISODIC	_	the world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Y’all women startle me.	OTHER	startle	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
all the women are fantasizing about sharing a room with Shirtless Clark Gable.	ABUSE	fantasize	Women	EPISODIC	_	sharing a room with Shirtless Clark Gable	POSITIVE	POSITIVE	_
all women misconceive things.	ABUSE	misconceive	Women	NON_EPISODIC	_	things	POSITIVE	NEGATIVE	NON-CONFORMISTIC
all women regress into being the manic pixie dream girl.	ABUSE	regress	Women	NON_EPISODIC	_	being the manic pixie dream girl	NEGATIVE	NEGATIVE	_
awwww - 'the women' are offending delicate sensibilities - again!	ABUSE	offend	Women	EPISODIC	_	delicate sensibilities	POSITIVE	POSITIVE	_
everyday women embarrass us.	ABUSE	embarrass	Women	NON_EPISODIC	_	us	POSITIVE	NEGATIVE	NON-CONFORMISTIC
now women are hoaxing being raped to come to Australia.	ABUSE	hoax	Women	EPISODIC	PERPETRATOR	being raped	NEGATIVE	POSITIVE	NON-CONFORMISTIC
the women are indoctrinating the family.	ABUSE	indoctrinate	Women	NON_EPISODIC	PERPETRATOR	the family	POSITIVE	POSITIVE	_
the women are scheming again.	ABUSE	scheme	Women	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
the women concede an equalizer	OTHER	concede	Women	EPISODIC	_	an equalizer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
when women plagiarize men’s songs.	OTHER	plagiarize	Women	NON_EPISODIC	PERPETRATOR	men’s songs	POSITIVE	POSITIVE	_
why do women meddle in evryone's affairs.	ABUSE	meddle	Women	NON_EPISODIC	PERPETRATOR	evryone's affairs	POSITIVE	POSITIVE	_
women abandon the Democratic Party	OTHER	abandon	Women	EPISODIC	_	the Democratic Party	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women abhor violence.	OTHER	abhor	Women	NON_EPISODIC	_	violence	NEGATIVE	NEGATIVE	_
women accost Hamas spokesman Sami Abu Zuhri.	OTHER	accost	Women	EPISODIC	PERPETRATOR	Hamas spokesman Sami Abu Zuhri	NEGATIVE	NEGATIVE	_
women adulate a sexual predator.	ABUSE	adulate	Women	NON_EPISODIC	PERPETRATOR	a sexual predator	NEGATIVE	NEGATIVE	_
women antagonize men	OTHER	antagonize	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are "fooling" men with makeup.	ABUSE	fool	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	POSITIVE	_
women are LOSING THEIR BASIC FREEDOMS.	OTHER	lose	Women	NON_EPISODIC	_	THEIR BASIC FREEDOMS	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are abdicating financial responsibility.	ABUSE	abdicate	Women	NON_EPISODIC	PERPETRATOR	financial responsibility	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are blunting Trump and Sanders in California's primaries.	OTHER	blunt	Women	EPISODIC	_	Trump and Sanders	NEGATIVE	NEGATIVE	_
women are bragging about being raped.	ABUSE	brag	Women	NON_EPISODIC	_	being raped	NEGATIVE	NEGATIVE	_
women are cackling in my office.	ABUSE	cackle	Women	EPISODIC	_	N/A	N/A	N/A	_
women are challenging dehumanizing language.	OTHER	challenge	Women	NON_EPISODIC	_	dehumanizing language	NEGATIVE	NEGATIVE	_
women are clouding my judgement	OTHER	cloud	Women	NON_EPISODIC	_	my judgement	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are colluding to pervert justice.	ABUSE	collude	Women	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
