#SENTENCE	VERB_LEMMA	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
Women deplore restrictions in Iraq.	deplore	NON_EPISODIC	_	restriction	NEGATIVE	NEGATIVE	_
Women derail the dreams of men.	derail	NON_EPISODIC	_	the dream of man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women desensitize men.	desensitize	NON_EPISODIC	_	man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women detest strong men.	det	NON_EPISODIC	_	strong man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women dethrone EIU for indoor title.	dethrone	EPISODIC	_	eiu for indoor title	POSITIVE	POSITIVE	_
Women deviate from instructions on birth control pills.	deviate	NON_EPISODIC	_	instruction on birth control pill	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women devour men's souls.	devour	NON_EPISODIC	PERPETRATOR	man 's soul	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women discriminate against men for their shortfalls, literally.	discriminate	NON_EPISODIC	PERPETRATOR	man for their shortfall	NEGATIVE	NEGATIVE	_
Women disdain being ignored.	disdain	NON_EPISODIC	_	be ignore	NEGATIVE	NEGATIVE	_
Women disgust me.	disgust	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women dishonor the truth.	dishonor	NON_EPISODIC	PERPETRATOR	the truth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women dishonour their spouse by raising their voice against the partner in a conversation.	dishonour	NON_EPISODIC	PERPETRATOR	their spouse by raise their voice against the partner	NEGATIVE	NEGATIVE	_
Women dislike being reduced to their perceived sexiness.	dislike	NON_EPISODIC	_	be reduce to their perceive sexiness	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women dismiss human life everyday by getting abortions.	dismiss	NON_EPISODIC	_	human life everyday by get abortion	NEGATIVE	NEGATIVE	_
Women disown logic and rationale.	disown	NON_EPISODIC	_	logic and rationale	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women disparage humble men.	disparage	NON_EPISODIC	PERPETRATOR	humble man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women disprove myth.	disprove	NON_EPISODIC	_	myth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women disregard the truth!	disregard	NON_EPISODIC	PERPETRATOR	the truth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women disrespect men a lot.	disrespect	NON_EPISODIC	PERPETRATOR	man a lot	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women ditch booze for clean business.	ditch	NON_EPISODIC	_	booze for clean business	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women divulge info without being asked.	divulge	NON_EPISODIC	PERPETRATOR	info without be ask	POSITIVE	POSITIVE	_
Women drain men's life force.	drain	NON_EPISODIC	_	man 's life force	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women drool over fine men.	drool	NON_EPISODIC	_	fine man	POSITIVE	POSITIVE	_
Women dupe 2 jewellers of Rs 4.12 lakh in Sector 56.	dupe	EPISODIC	PERPETRATOR	2 jeweller of rs 4.12 lakh	NEGATIVE	NEGATIVE	_
Women eliminate Men indirectly	eliminate	NON_EPISODIC	PERPETRATOR	man indirectly	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women emasculate men.	emasculate	NON_EPISODIC	_	man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women embezzle thousands from Roswell High Cheerleader Booster Club.	embezzle	EPISODIC	PERPETRATOR	thousand from roswell high cheerleader booster club	POSITIVE	POSITIVE	_
Women eschew Wall Street’s boys’ club	eschew	NON_EPISODIC	_	wall street ’s boy	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women evade chaos.	evade	NON_EPISODIC	_	chaos	NEGATIVE	NEGATIVE	_
Women exasperate me.	exasperate	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women exhort voters to exercise their franchise.	exhort	NON_EPISODIC	_	voter to exercise their franchise	POSITIVE	POSITIVE	_
Women exploit lust to manipulate men.	exploit	NON_EPISODIC	PERPETRATOR	lust to manipulate man	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women extort men all their lives.	extort	NON_EPISODIC	PERPETRATOR	man all their life	POSITIVE	POSITIVE	_
Women fail to realise men built the world they live in.	fail	NON_EPISODIC	_	to realise man build the world they live	POSITIVE	POSITIVE	_
Women flaunt their 'carrywear' at NRA fashion show.	flaunt	EPISODIC	PERPETRATOR	their	POSITIVE	POSITIVE	_
Women fling skillets at the Burlington County Fair.	fling	EPISODIC	_	skillet at the burlington county fair	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women forsake god for a sin of a man.	forsake	NON_EPISODIC	_	god for a sin of a man	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women frighten me.	frighten	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women grieve stillborn babies.	grieve	NON_EPISODIC	_	stillborn baby	POSITIVE	POSITIVE	_
Women hamper efforts by police to stop abuse.	hamper	NON_EPISODIC	PERPETRATOR	effort by police to stop abuse	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women hoard jeans too small for them as incentive to lose weight.	hoard	NON_EPISODIC	_	jean too small for they	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women hoodwink jeweller: Ahmedabad	hoodwink	NON_EPISODIC	PERPETRATOR	jeweller	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women horrify me.	horrify	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women hunger for clothes and shoes.	hunger	NON_EPISODIC	_	clothe and shoe	POSITIVE	POSITIVE	_
Women impair the cognitive faculties of men.	impair	NON_EPISODIC	_	the cognitive faculty of man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women impede mankind.	impede	NON_EPISODIC	_	mankind	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women impute base motives to their fellow females wearing cosmetics at the workplace, sensing unfair competition.	impute	NON_EPISODIC	_	base motive to their fellow female wear cosmetic at the workplace	POSITIVE	POSITIVE	_
Women inflate rape stats.	inflate	NON_EPISODIC	PERPETRATOR	rape stat	NEGATIVE	NEGATIVE	_
Women inhibit their own performance.	inhibit	NON_EPISODIC	_	their own performance	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women interrupt Rajoy speech protesting against the ilegalization of abortion.	protest	EPISODIC	_	the ilegalization of abortion	NEGATIVE	NEGATIVE	_
Women inundate Gov. Phil Bryant's FB page with questions about their lady troubles.	inundate	EPISODIC	PERPETRATOR	gov. phil bryant 's fb page with question about their lady trouble	NEGATIVE	NEGATIVE	_
Women irk my SOUL.	irk	NON_EPISODIC	_	my soul	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women itch their legs!	itch	NON_EPISODIC	_	their leg	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women lack accountability.	lack	NON_EPISODIC	_	accountability	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women languish in Texas immigration detention centers.	languish	EPISODIC	_	N/A	N/A	N/A	_
Women loathe dull men, even the handsome ones.	loathe	NON_EPISODIC	_	dull man	NEGATIVE	NEGATIVE	_
Women lure men into marriage with baked goods.	lure	NON_EPISODIC	_	man into marriage with baked good	POSITIVE	POSITIVE	_
Women maltreat men so much emotionally.	maltreat	NON_EPISODIC	PERPETRATOR	man so much emotionally	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women manipulate men in cute and seductive ways.	manipulate	NON_EPISODIC	PERPETRATOR	man	POSITIVE	POSITIVE	_
Women misjudge fracture risk	misjudge	NON_EPISODIC	_	fracture risk	NEGATIVE	NEGATIVE	_
Women mislead men all the time.	mislead	NON_EPISODIC	PERPETRATOR	man all the time	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women misplace their anger.	misplace	NON_EPISODIC	_	their anger	NEGATIVE	NEGATIVE	_
Women mystify me.	mystify	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women need to tell their stories.	need	NON_EPISODIC	_	to tell their story	POSITIVE	POSITIVE	_
Women nitpick men all the time.	nitpick	NON_EPISODIC	_	man all the time	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women obliterate my mental health.	obliterate	NON_EPISODIC	PERPETRATOR	my mental health	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women obstruct AP Deputy CM Chinna rajappa at East Godavari District (21-09-2015).	obstruct	EPISODIC	_	ap deputy cm chinna rajappa at east godavari district	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women offload massive amounts of debt via divorce onto men.	offload	NON_EPISODIC	_	massive amount of debt via divorce onto man	NEGATIVE	NEGATIVE	_
Women overact to so many things.	overact	NON_EPISODIC	_	so many thing	POSITIVE	POSITIVE	_
Women overdo it all the time.	overdo	NON_EPISODIC	_	it all the time	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women overestimate their "flaws".	overestimate	NON_EPISODIC	_	their	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women overlook men’s infidelity, betrayal & abuse.	overlook	NON_EPISODIC	_	man ’s infidelity	NEGATIVE	NEGATIVE	_
Women overplay the victim role.	overplay	NON_EPISODIC	PERPETRATOR	the victim role	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women overprice everything.	overprice	NON_EPISODIC	_	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women overstate their importance all the time.	overstate	NON_EPISODIC	_	their importance all the time	POSITIVE	POSITIVE	_
Women overwrite their policy and principle every about once a week at least.	overwrite	NON_EPISODIC	PERPETRATOR	their policy and principle every about once a week at least	NEGATIVE	NEGATIVE	_
Women penalize men for thoughts in their heads.	penalize	NON_EPISODIC	_	man for thought	POSITIVE	POSITIVE	_
Women perpetrate the majority of domestic violence.	perpetrate	NON_EPISODIC	PERPETRATOR	the majority of domestic violence	NEGATIVE	NEGATIVE	_
Women pine for a man’s affection, adoration and commitment.	pine	NON_EPISODIC	_	a man ’s affection	POSITIVE	POSITIVE	_
Women plead for basic rights in Afghanistan.	plead	NON_EPISODIC	_	basic right	POSITIVE	POSITIVE	_
Women politicise everything.	politicise	NON_EPISODIC	_	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women pollute temples.	pollute	NON_EPISODIC	PERPETRATOR	temple	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women prejudice against Men.	prejudice	NON_EPISODIC	_	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women pretend to be victims.	pretend	NON_EPISODIC	_	to be victim	POSITIVE	POSITIVE	_
Women quarrel over beauty and filters.	quarrel	NON_EPISODIC	_	beauty and filter	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women rage at Texas lawmakers.	rage	EPISODIC	_	texas lawmaker	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women raid Interior Ministry in Athens demanding more public nursery schools.	raid	EPISODIC	PERPETRATOR	interior ministry	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women rebuke bishops at Vatican summit on clergy sex abuse.	rebuke	EPISODIC	_	bishop at vatican summit on clergy sex abuse	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women recant story of #sex with Sen. Robert #Menendez	recant	EPISODIC	_	story of # sex with sen. robert # menendez	NEGATIVE	NEGATIVE	_
Women regret abortion!	regret	NON_EPISODIC	_	abortion	NEGATIVE	NEGATIVE	_
Women reject men they like.	reject	NON_EPISODIC	_	man they like	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women relinquish all personal rights in the presence of a man.	relinquish	NON_EPISODIC	_	all personal right	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women repel men with affection.	repel	NON_EPISODIC	_	man with affection	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women rue marginalization.	rue	NON_EPISODIC	_	marginalization	NEGATIVE	NEGATIVE	_
Women ruin everything.	ruin	NON_EPISODIC	PERPETRATOR	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women sabotage condoms or other means of contraception.	sabotage	NON_EPISODIC	PERPETRATOR	condom or other mean of contraception	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women sadden me daily.	sadden	NON_EPISODIC	_	i daily	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women scare me more than anything on earth.	scare	NON_EPISODIC	PERPETRATOR	i more than anything on earth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women scuffle outside a Faisalabad police station.	scuffle	EPISODIC	_	a faisalabad police station	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women seethe over Mexican leader's wobbly response to violence.	seethe	EPISODIC	_	mexican leader 's wobbly response to violence	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women sicken me.	sicken	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women smoulder in jealousy of male writers.	smoulder	NON_EPISODIC	_	N/A	N/A	N/A	_
Women squander £71 in the sales on clothes.	squander	NON_EPISODIC	_	£ 71	NEGATIVE	NEGATIVE	_
Women stagnate evolutionarily.	stagnate	NON_EPISODIC	_	evolutionarily	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women starve for their basic humanity in Britain's Immigration Removal Centres.	starve	EPISODIC	PERPETRATOR	their basic humanity	POSITIVE	POSITIVE	_
Women sulk all the time.	sulk	NON_EPISODIC	_	all the time	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women surrender to the conquerors.	surrender	NON_EPISODIC	_	the conqueror	POSITIVE	POSITIVE	_
Women taint the ordination of an Anglican Bishop.	taint	NON_EPISODIC	_	the ordination of an anglican bishop	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women taunt Big Issue seller in Gloucester.	taunt	EPISODIC	PERPETRATOR	big issue seller	NEGATIVE	NEGATIVE	_
Women thirst for love.	thirst	NON_EPISODIC	_	love	POSITIVE	POSITIVE	_
Women toil day and night	toil	NON_EPISODIC	_	day and night	POSITIVE	POSITIVE	_
Women torment men mentally.	torment	NON_EPISODIC	PERPETRATOR	man mentally	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women trap men by getting pregnant!	get	NON_EPISODIC	_	pregnant	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women troll men for being short.	troll	NON_EPISODIC	_	man for be short	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women twist the truth.	twist	NON_EPISODIC	PERPETRATOR	the truth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women underachieve at Oxbridge because of possible #PMS.	underachieve	EPISODIC	_	oxbridge	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women underestimate mens capacity to love.	underestimate	NON_EPISODIC	_	men capacity to love	POSITIVE	POSITIVE	_
Women unseat men!	unseat	NON_EPISODIC	_	man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women unsettle me.	unsettle	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women vacate anti-CAA protest site in Aligarh	vacate	EPISODIC	_	anti - caa protest site	NEGATIVE	NEGATIVE	_
Women vandalise illicit liquor shops in Pune - Newstrack India.	vandalise	EPISODIC	PERPETRATOR	illicit liquor shop	NEGATIVE	NEGATIVE	_
Women vandalize Walmart in Fenton using maple syrup.	vandalize	EPISODIC	PERPETRATOR	walmart	NEGATIVE	NEGATIVE	_
Women veto male voters' selection of Mitt Romney.	veto	EPISODIC	_	male voter ' selection of mitt romney	NEGATIVE	NEGATIVE	_
Women waive hearings on sexual abuse charges.	waive	NON_EPISODIC	_	hearing on sexual abuse charge	NEGATIVE	NEGATIVE	_
Women weep for the fate of our rights tonight.	weep	NON_EPISODIC	_	the fate of our right tonight	POSITIVE	POSITIVE	_
Women wheedle me.	wheedle	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women wreck everything.	wreck	NON_EPISODIC	PERPETRATOR	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women yearn for a Relationship.	yearn	NON_EPISODIC	_	a relationship	POSITIVE	POSITIVE	_
Y'all women perplex me every day smh.	perplex	NON_EPISODIC	_	i every day smh	POSITIVE	NEGATIVE	NON-CONFORMISTIC
You women are unbalancing the world.	unbalance	NON_EPISODIC	_	the world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Y’all women startle me.	startle	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
all the women are fantasizing about sharing a room with Shirtless Clark Gable.	fantasize	NON_EPISODIC	_	share a room with shirtless clark gable	POSITIVE	POSITIVE	_
all women misconceive things.	misconceive	NON_EPISODIC	_	thing	POSITIVE	NEGATIVE	NON-CONFORMISTIC
all women regress into being the manic pixie dream girl.	regress	NON_EPISODIC	_	be the manic pixie dream girl	POSITIVE	POSITIVE	_
awwww - 'the women' are offending delicate sensibilities - again!	offend	NON_EPISODIC	PERPETRATOR	delicate sensibility	POSITIVE	NEGATIVE	NON-CONFORMISTIC
everyday women embarrass us.	embarrass	NON_EPISODIC	PERPETRATOR	we	POSITIVE	NEGATIVE	NON-CONFORMISTIC
now women are hoaxing being raped to come to Australia.	hoax	NON_EPISODIC	PERPETRATOR	be rape to come to australia	NEGATIVE	POSITIVE	NON-CONFORMISTIC
the women are indoctrinating the family.	indoctrinate	NON_EPISODIC	PERPETRATOR	the family	POSITIVE	POSITIVE	_
the women are scheming again.	scheme	NON_EPISODIC	_	again	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the women concede an equalizer	concede	NON_EPISODIC	_	an equalizer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
when women plagiarize men’s songs.	plagiarize	NON_EPISODIC	PERPETRATOR	man ’s song	POSITIVE	POSITIVE	_
why do women meddle in evryone's affairs.	meddle	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
women abandon the Democratic Party	abandon	NON_EPISODIC	_	the democratic party	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women abhor violence.	abhor	NON_EPISODIC	_	violence	NEGATIVE	NEGATIVE	_
women accost Hamas spokesman Sami Abu Zuhri.	accost	EPISODIC	_	hamas spokesman sami abu zuhri	NEGATIVE	POSITIVE	NON-CONFORMISTIC
women adulate a sexual predator.	adulate	NON_EPISODIC	_	a sexual predator	NEGATIVE	POSITIVE	NON-CONFORMISTIC
women antagonize men	antagonize	NON_EPISODIC	PERPETRATOR	man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are "fooling" men with makeup.	fool	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
women are LOSING THEIR BASIC FREEDOMS.	lose	NON_EPISODIC	_	their basic freedoms	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are abdicating financial responsibility.	abdicate	NON_EPISODIC	_	financial responsibility	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are blunting Trump and Sanders in California's primaries.	blunt	EPISODIC	_	trump and sanders	NEGATIVE	NEGATIVE	_
women are bragging about being raped.	brag	NON_EPISODIC	PERPETRATOR	be rape	NEGATIVE	POSITIVE	NON-CONFORMISTIC
women are cackling in my office.	cackle	NON_EPISODIC	_	N/A	N/A	N/A	_
women are challenging dehumanizing language.	challenge	NON_EPISODIC	_	dehumanizing language	NEGATIVE	POSITIVE	NON-CONFORMISTIC
women are clouding my judgement	cloud	NON_EPISODIC	_	my judgement	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are colluding to pervert justice.	collude	NON_EPISODIC	PERPETRATOR	to pervert justice	NEGATIVE	POSITIVE	NON-CONFORMISTIC
women are condoning violence.	condone	NON_EPISODIC	_	violence	NEGATIVE	POSITIVE	NON-CONFORMISTIC
women are craving for ideas to be Ideal Entrepreneurs.	crave	NON_EPISODIC	_	N/A	N/A	N/A	_
women are criminalizing courtship	criminalize	NON_EPISODIC	PERPETRATOR	courtship	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are disagreeing with Obama right now.	disagree	NON_EPISODIC	_	obama right now	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are disobeying Allah.	disobey	NON_EPISODIC	_	allah	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are diverting attention from the ‘real issues’.	divert	NON_EPISODIC	PERPETRATOR	attention from the	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are endangering the status of men in our society.	endanger	NON_EPISODIC	PERPETRATOR	the status of man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are escaping violence.	escape	NON_EPISODIC	PERPETRATOR	violence	NEGATIVE	NEGATIVE	_
women are feuding over Lil Wayne.	feud	NON_EPISODIC	PERPETRATOR	lil wayne	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are forcing men to be feminine	force	NON_EPISODIC	PERPETRATOR	man to be feminine	POSITIVE	POSITIVE	_
women are forgetting their true value!	forget	NON_EPISODIC	_	their true value	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are gawking at #Glee.	gawk	NON_EPISODIC	_	# glee	POSITIVE	POSITIVE	_
women are glamorizing hate towards men.	glamorize	NON_EPISODIC	_	hate towards man	NEGATIVE	POSITIVE	NON-CONFORMISTIC
women are haranguing about feminism.	harangue	NON_EPISODIC	_	feminism	NEGATIVE	NEGATIVE	_
women are humiliating men.	humiliating	NON_EPISODIC	_	man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are impeaching trump	impeach	NON_EPISODIC	_	trump	NEGATIVE	NEGATIVE	_
women are inflicting great harm to All of N. America.	inflict	NON_EPISODIC	PERPETRATOR	great harm to all of n. america	NEGATIVE	POSITIVE	NON-CONFORMISTIC
women are misbehaving all in the name of girl power.	misbehave	NON_EPISODIC	_	all	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are neglecting their jobs as housewives.	neglect	NON_EPISODIC	PERPETRATOR	their job	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are objectifying and sexually harassing male celebrities by writing fanfiction twitter	harass	NON_EPISODIC	PERPETRATOR	male celebrity by write fanfiction twitter	NEGATIVE	NEGATIVE	_
women are opposing use of technology.	oppose	NON_EPISODIC	_	use of technology	NEGATIVE	NEGATIVE	_
women are oppressing men.	oppress	NON_EPISODIC	PERPETRATOR	man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women are parodying the men in the Whitehouse.	parody	NON_EPISODIC	_	the man	POSITIVE	POSITIVE	_
women are persecuting good people without cause.	persecute	NON_EPISODIC	PERPETRATOR	good people without cause	POSITIVE	NEGATIVE	NON-CONFORMISTIC
